GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.central,CentralSearch,73,274,6,18,13,61,6,10,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,VulnerableSoftware,183,488,30,66,34,103,27,36,2,13
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Vulnerability.Source,0,34,0,0,0,4,0,1,0,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,CweSet,4,30,0,0,1,6,1,5,1,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Vulnerability,98,207,13,7,24,63,15,28,5,28
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Confidence,0,44,0,0,0,5,0,1,0,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,VulnerableSoftwareBuilder,45,253,0,0,9,57,9,32,9,32
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Evidence,102,112,24,6,30,24,22,8,7,8
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection,175,289,35,21,44,69,29,23,3,14
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceType,0,34,0,0,0,4,0,1,0,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,CvssV3,16,156,8,8,0,31,8,12,0,12
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,CvssV2,12,122,6,6,0,25,6,10,0,10
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Dependency,198,790,31,55,44,212,44,68,14,55
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Reference,84,84,25,3,11,20,16,9,2,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.composer,ComposerException,12,0,0,0,6,0,3,0,3,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.composer,ComposerDependency,118,0,28,0,22,0,20,0,6,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.composer,ComposerLockParser,170,0,14,0,38,0,11,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomParseException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,Model,12,187,1,5,2,55,1,29,0,27
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomHandler,0,214,6,33,0,52,6,24,0,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,License,100,17,20,0,17,8,14,5,4,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomUtils,160,26,7,1,41,8,5,3,1,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomProjectInputStream,2,154,2,14,2,31,2,11,0,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,Model.PropertyLookup,11,0,0,0,4,0,2,0,2,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomParser,41,71,1,1,9,16,1,4,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nodeaudit,NpmAuditParser,203,0,14,0,42,0,11,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nodeaudit,Advisory,122,0,0,0,52,0,35,0,35,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nodeaudit,NodeAuditSearch,225,0,11,0,52,0,10,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nodeaudit,SanitizePackage,98,0,4,0,21,0,3,0,1,0
