GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils.search,FileContentSearch,72,0,6,0,10,0,6,0,3,0
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,FileUtils,36,70,7,9,8,19,7,8,0,7
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,HttpResourceConnection,480,179,40,16,92,52,29,11,2,10
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,Settings,503,296,61,29,107,75,57,25,17,20
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,ExpectedObjectInputStream,32,0,2,0,7,0,3,0,2,0
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,SSLSocketFactoryEx,175,119,6,6,40,32,15,7,11,5
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,InvalidSettingException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFactory.new Authenticator() {...},58,0,6,0,10,0,5,0,2,0
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFailureException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFactory,184,92,40,4,40,30,22,6,1,5
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,Downloader,22,38,0,0,3,11,0,3,0,3
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,ExtractionException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,DownloadFailedException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,XmlUtils,72,79,9,2,12,25,6,5,1,4
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,Checksum,70,125,2,6,20,26,8,8,6,6
